"user_pk","id","genre_cluster","grade_cluster","nation_cluster"
4154,"oppa****",30,13,18
4164,"brow****",35,27,2
4165,"wldm****",15,27,25
4166,"sunm****",16,5,25
4181,"suga****",29,26,27
4187,"navi****",18,3,14
4189,"thgu****",11,8,23
4194,"vega****",18,12,24
4196,"dkss****",40,13,18
4200,"audw****",4,19,4
4217,"suye****",27,20,8
4233,"dais****",36,29,39
4241,"dlgu****",40,34,2
4249,"dmsr****",18,28,29
4261,"purp****",10,20,20
4272,"mano****",28,22,1
4300,"matt****",17,1,40
4301,"spor****",34,17,24
4306,"tjdr****",32,31,29
4307,"anti****",1,11,21
4308,"jina****",24,36,27
4311,"phot****",20,6,35
4312,"read****",39,27,35
4325,"jjjj****",9,36,17
4328,"lucy****",3,20,35
4338,"whdk****",28,8,39
4340,"sind****",27,28,17
4349,"ryuj****",2,11,8
4370,"jise****",8,16,23
4373,"ling****",32,18,29
4383,"dngu****",33,2,18
4387,"woor****",4,1,17
4396,"limi****",37,27,4
4397,"mark****",2,1,26
4401,"hyuk****",10,27,27
4407,"wlsq****",39,27,5
4452,"mise****",30,9,40
4474,"aaaa****",19,16,6
4482,"cksg****",16,15,8
4483,"skdl****",23,8,15
4485,"podo****",11,12,35
4498,"skar****",2,15,22
4499,"cold****",30,3,25
4528,"sooo****",10,14,16
4549,"jihe****",24,15,31
4552,"stea****",7,18,1
4555,"daem****",35,31,31
4558,"1000****",4,14,28
4561,"mart****",3,16,29
4563,"hiph****",7,26,6
4565,"mymy****",36,39,32
4566,"hunt****",33,13,18
4573,"dbsk****",31,40,11
4610,"rlac****",24,7,21
4621,"shdu****",28,25,29
4623,"tlst****",40,6,2
4624,"fina****",29,14,23
4640,"wool****",38,12,35
4642,"adid****",18,24,39
4644,"badb****",24,25,40
4671,"dusd****",27,27,39
4672,"titi****",40,38,16
4678,"jmin****",15,8,29
4682,"thet****",38,27,30
4685,"cho_****",20,37,18
4686,"2004****",23,39,1
4701,"siri****",15,21,4
4708,"dyda****",28,34,38
4713,"fine****",22,13,4
4718,"hoch****",25,2,23
4732,"mino****",36,33,31
4748,"poro****",34,3,32
4755,"youm****",40,30,8
4768,"beat****",37,38,24
4785,"sher****",20,30,35
4797,"deep****",14,35,18
4804,"khan****",40,15,15
4806,"than****",15,30,8
4808,"mybl****",12,33,23
4809,"hoih****",38,31,17
4821,"indi****",39,30,18
4834,"jjon****",4,14,16
4841,"jiwo****",19,7,7
4859,"vani****",24,30,1
4860,"ring****",6,11,15
4865,"rhee****",21,32,18
4874,"sina****",20,8,26
4890,"stor****",2,6,1
4893,"zola****",1,9,15
4896,"thdt****",28,26,5
4903,"mind****",40,10,35
4914,"jing****",27,22,27
4925,"hack****",23,7,29
4936,"hoju****",29,17,6
4940,"tjsw****",33,33,14
4941,"cont****",16,30,30
4942,"reve****",33,10,26
4949,"cats****",35,16,33
4954,"ansg****",24,33,29
4956,"clou****",15,23,28
4963,"poly****",27,4,33
4967,"maxi****",25,5,25
4968,"tjda****",24,16,21
4969,"flor****",27,16,38
4979,"dlag****",20,27,27
4982,"back****",24,16,24
4994,"miny****",25,39,23
4996,"gkdu****",7,21,26
5016,"juns****",26,10,25
5029,"jjy3****",21,30,35
5053,"kimc****",15,10,15
5070,"namg****",20,32,16
5074,"dldb****",7,28,31
5078,"rush****",14,10,15
5079,"choh****",33,28,25
5080,"kell****",20,13,23
5097,"dydw****",16,24,18
5115,"tjtm****",22,26,18
5122,"zard****",13,12,13
5127,"pipi****",24,26,8
5144,"gpgp****",39,22,16
5156,"skys****",40,10,15
5161,"doub****",16,2,26
5163,"wisd****",34,31,40
5170,"hera****",40,19,5
5211,"boom****",27,2,16
5224,"baes****",15,16,15
5226,"jane****",24,2,31
5254,"whdn****",20,7,19
5256,"thwj****",35,2,23
5259,"wldk****",28,10,17
5274,"junh****",29,8,25
5277,"yaho****",14,2,15
5283,"han0****",40,36,23
5311,"lott****",15,40,12
5312,"leeg****",29,14,1
5319,"chel****",4,24,16
5333,"leew****",2,35,38
5335,"whoa****",32,5,12
5339,"jose****",24,36,5
5345,"kima****",8,8,12
5358,"jupi****",37,10,8
5363,"dang****",9,34,20
5369,"flam****",20,11,5
5379,"susa****",20,20,40
5384,"magn****",39,32,32
5394,"korn****",26,21,13
5395,"soun****",16,14,28
5404,"haya****",8,13,26
5408,"chee****",24,12,30
5411,"enjo****",16,27,15
5413,"qhfk****",30,2,31
5414,"deli****",18,15,29
5417,"skyh****",28,10,18
5420,"rudd****",6,21,2
5438,"yana****",4,19,17
5443,"jiho****",7,15,18
5444,"wkdw****",32,27,35
5446,"rkdm****",12,36,12
5454,"name****",19,11,32
5469,"seoh****",24,40,33
5493,"qudw****",28,7,8
5499,"sh92****",24,15,37
5511,"miri****",17,6,35
5521,"shoo****",32,21,25
5522,"wooh****",9,28,1
5523,"apri****",7,28,21
5533,"dmst****",27,30,20
5555,"dlth****",2,3,22
5559,"nimi****",8,21,18
5568,"stay****",19,15,17
5574,"suin****",18,24,31
5575,"coke****",16,24,22
5576,"skdm****",23,14,28
5578,"mail****",4,31,5
5594,"mang****",16,9,10
5595,"side****",20,16,7
5602,"bana****",39,32,26
5608,"coal****",21,10,8
5612,"harr****",28,4,14
5651,"mone****",22,5,33
5655,"dlsr****",7,7,8
5659,"phan****",24,11,30
5663,"pris****",22,10,21
5667,"pant****",4,12,3
5674,"sama****",16,8,7
5682,"wnst****",24,33,2
5684,"hard****",18,34,18
5695,"rlaq****",28,8,33
5727,"lavi****",15,16,5
5735,"rive****",16,23,14
5749,"ryoo****",1,16,30
5760,"zzzz****",14,30,30
5779,"jaem****",36,38,1
5799,"gydn****",24,30,35
5806,"keep****",12,3,1
5807,"chob****",6,22,17
5808,"sile****",34,14,6
5813,"sims****",17,27,31
5821,"rkdc****",17,12,18
5824,"jero****",9,38,39
5838,"jooj****",30,14,32
5852,"tune****",23,15,15
5864,"socc****",35,8,27
5865,"redj****",24,38,40
5873,"alwa****",14,38,39
5888,"dlcj****",35,15,8
5909,"whda****",17,22,20
5913,"whal****",33,18,24
5916,"skin****",9,30,19
5919,"chog****",21,17,31
5924,"pjh1****",12,29,25
5933,"lee_****",34,31,32
5934,"dada****",39,26,21
5935,"gran****",9,2,23
5943,"dose****",35,27,14
5944,"sons****",28,30,25
5947,"godl****",39,21,31
5950,"tkda****",18,9,18
5974,"dlal****",10,35,13
5995,"wish****",9,38,24
6001,"nani****",38,18,1
6003,"holy****",7,2,21
6012,"wkdd****",30,10,8
6018,"merm****",24,4,35
6026,"soda****",10,31,16
6033,"want****",37,2,7
6035,"1234****",5,15,18
6042,"junm****",6,9,40
6047,"lone****",31,27,38
6048,"hikk****",9,27,25
6051,"pain****",12,32,23
6054,"musi****",7,35,13
6056,"wkda****",17,21,27
6058,"jiyo****",9,30,28
6061,"acti****",27,11,20
6062,"prom****",25,25,19
6063,"perf****",27,40,13
6084,"fill****",28,9,14
6105,"monk****",26,27,21
6109,"jhan****",24,32,32
6110,"didi****",33,39,40
6111,"year****",3,3,22
6116,"nang****",39,27,5
6117,"infi****",35,13,20
6131,"atom****",28,16,3
6133,"ghks****",9,28,35
6146,"dust****",7,8,21
6157,"zest****",4,19,1
6171,"sand****",19,39,3
6192,"toky****",24,25,30
6204,"lost****",29,19,19
6225,"ddal****",27,36,23
6235,"winw****",36,18,16
6242,"dusw****",8,13,14
6258,"wise****",29,13,22
6286,"vkdl****",35,22,3
6297,"thec****",8,13,9
6309,"didt****",22,29,5
6328,"part****",21,5,29
6333,"insa****",17,11,17
6350,"knig****",33,29,30
6377,"colo****",26,7,3
6381,"sky7****",16,40,35
6392,"inno****",37,4,19
6394,"joyc****",34,8,29
6395,"taki****",38,7,33
6412,"thel****",34,10,29
6414,"tran****",17,3,23
6418,"kmin****",32,3,4
6439,"whdd****",6,11,21
6445,"sosi****",8,3,26
6452,"dear****",3,15,31
6460,"ting****",25,1,23
6462,"redp****",25,33,32
6471,"need****",35,36,23
6479,"alal****",20,13,40
6486,"qord****",33,36,26
6498,"wlsl****",39,15,35
6508,"rokm****",8,30,38
6515,"kim_****",17,28,18
6530,"duck****",22,24,40
6543,"joun****",17,20,6
6556,"jinj****",39,13,5
6557,"myth****",19,6,30
6558,"herb****",25,29,39
6564,"skyd****",6,26,23
6576,"rhkr****",34,2,35
6580,"wnsg****",21,2,19
6628,"imag****",11,21,15
6641,"chic****",24,11,7
6645,"dood****",33,18,28
6662,"roug****",35,11,30
6674,"kime****",9,13,11
6688,"ddan****",24,23,37
6696,"smin****",16,6,17
6705,"eagl****",38,25,27
6712,"lena****",20,28,18
6716,"funn****",19,3,21
6732,"nost****",5,11,30
6795,"shad****",14,35,11
6803,"cksd****",24,10,35
6856,"minw****",21,22,12
6871,"wlsw****",24,36,15
6894,"cupi****",11,37,27
6897,"skyo****",18,20,18
6898,"rion****",18,14,28
6907,"wing****",13,8,35
6929,"rmfl****",40,15,25
6930,"cafe****",2,18,8
6933,"baba****",2,6,18
6936,"kuro****",23,31,15
6954,"sout****",24,28,40
6955,"mysk****",37,27,40
6956,"skyr****",20,15,3
6971,"wjst****",1,15,31
6979,"tkdt****",29,11,4
6980,"hari****",17,25,14
6982,"pand****",33,13,3
6986,"aste****",3,27,39
6992,"demi****",7,27,1
6996,"kens****",17,33,1
7001,"spri****",40,27,4
7003,"gmlw****",32,38,10
7009,"kuku****",28,12,8
7016,"akir****",23,2,33
7027,"visi****",20,40,1
7034,"dung****",33,34,18
7046,"fkdl****",22,4,29
7049,"ruda****",5,21,21
7064,"viva****",31,9,7
7065,"skyb****",20,26,11
7075,"neos****",18,22,7
7089,"adsl****",33,25,32
7096,"dana****",15,30,14
7102,"cree****",6,11,40
7140,"issu****",23,1,18
7163,"cris****",3,20,36
7171,"chok****",22,12,4
7183,"nuri****",2,15,40
7196,"anne****",24,28,4
7208,"comb****",25,1,25
7224,"jojo****",12,7,32
7225,"haji****",18,39,4
7239,"vmfl****",39,18,30
7267,"rnld****",18,16,18
7270,"wins****",24,16,16
7278,"dlrm****",32,28,40
7318,"auto****",23,32,27
7326,"pick****",8,2,8
7339,"alan****",17,5,21
7350,"scar****",30,9,21
7352,"club****",23,6,15
7355,"fuck****",28,12,40
7375,"hosu****",24,21,25
7380,"lee9****",19,12,39
7386,"brea****",3,40,18
7392,"pete****",16,32,15
7403,"alsl****",37,36,29
7427,"emin****",17,27,31
7435,"spik****",7,28,29
7464,"peti****",38,13,32
7466,"tekk****",28,32,15
7478,"janu****",20,7,12
7500,"ansd****",33,21,23
7507,"tang****",7,2,11
7515,"jude****",38,17,38
7523,"qkre****",40,16,33
7524,"dlrl****",23,1,25
7545,"coll****",37,21,10
7547,"codn****",23,39,31
