"","user_pk","id","12세 관람가_mean","12세 관람가_std","12세 관람가_count","15세 관람가_mean","15세 관람가_std","15세 관람가_count","G_mean","G_std","G_count","NR_mean","NR_std","NR_count","PG_mean","PG_std","PG_count","PG-13_mean","PG-13_std","PG-13_count","R_mean","R_std","R_count","전체 관람가_mean","전체 관람가_std","전체 관람가_count","청소년 관람불가_mean","청소년 관람불가_std","청소년 관람불가_count"
"1220",9408,"july****",5.5,3.72155881318568,10,8.33333333333333,2.65622957508487,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.33333333333333,0.942809041582054,3,8.44444444444444,2.75322482074752,9
"1221",9432,"insi****",8.33333333333333,1.88561808316412,6,7.22222222222222,3.50484673235278,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.61538461538461,2.3051267790418,13
"1222",9452,"thes****",7.27272727272727,3.88682878662399,11,6.26666666666667,3.95755255457489,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.16666666666667,3.71558280160133,6,8.33333333333333,2.44948974278318,9
"1223",9473,"taeh****",9.125,1.11102430216445,16,8,2.25630429927107,22,NA,NA,NA,9,0,1,NA,NA,NA,9,0,1,NA,NA,NA,10,0,4,8.54545454545454,1.07565086965448,11
"1224",9509,"mike****",8.21428571428571,2.45469146820566,14,4.66666666666667,3.8873012632302,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1.63299316185545,3,8.875,1.36358901432946,8
"1225",9534,"lsy7****",8.5,1.954847454772,14,8.42857142857143,3.11022015101103,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.75,0.433012701892219,4,9.2,0.748331477354799,5
"1226",9535,"roma****",7.08333333333333,3.22641011376766,24,7.12121212121212,3.31897735032559,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.85714285714286,0.349927106111883,7,6.57142857142857,3.01695886884898,7
"1227",9553,"tjgu****",9.06060606060606,2.15939657591756,33,8.57692307692308,2.37248777127556,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,3.35410196624968,6,8.11111111111111,2.42415824769683,9
"1228",9580,"dool****",7.33333333333333,3.49602949390051,9,6.33333333333333,2.98142396999972,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,1.85472369909914,5,6.55555555555556,3.59354702862138,9
"1229",9591,"namu****",7.42857142857143,2.89616213324476,14,6.72222222222222,3.55598955684561,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,3.02654919008431,10,6,2.54950975679639,8
"1230",9622,"red_****",9.77777777777778,0.628539361054699,9,8.35714285714286,2.52437100672461,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,2,7.11111111111111,2.51415744421884,9
"1231",9636,"cosm****",7.08,2.57557760512084,25,7.08695652173913,3.2425572768668,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,1.24899959967969,10,5.90909090909091,4.18774283864764,11
"1232",9637,"shon****",7.7,1.95192212959431,10,7.2,3.37045990927054,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.66666666666667,4.02768199119819,3,10,0,1
"1233",9645,"redl****",7.63636363636364,2.49627822140836,11,7.8,2.66333124739176,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,2,8,2.32992949004287,7
"1234",9692,"radi****",8,2.34520787991171,16,7.61538461538461,3.31751671582274,26,NA,NA,NA,NA,NA,NA,9,1,2,NA,NA,NA,NA,NA,NA,7.57142857142857,2.32115382989599,7,8.52631578947368,2.11183185765672,19
"1235",9693,"high****",7.375,3.15980616494113,24,6.58823529411765,3.30879084951182,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3.05505046330389,6,8,2.44948974278318,26
"1236",9699,"suwo****",7.28571428571429,3.57428457234194,14,6.95454545454545,3.21187105944173,22,NA,NA,NA,10,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.5213633723318,5,7.375,3.19912097301743,8
"1237",9742,"port****",8.5,1.25830573921179,6,8.26666666666667,1.87853370714738,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,3.35410196624968,6,9.66666666666667,0.471404520791053,3
"1238",9750,"tict****",10,0,5,7.15384615384615,3.54848079836024,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,1,5,3.82099463490856,10
"1239",9760,"pupp****",8.54545454545454,1.61603534860284,11,5.8125,3.55701331878305,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,1.6,5,9.5,0.5,6
"1240",9808,"beck****",8.4,2.3607908279501,15,7.53333333333333,2.96348143611905,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,8.35714285714286,2.43800688083943,14
"1241",9810,"sasu****",9.33333333333333,0.745355992499921,6,7.1875,3.20582965080804,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,9.2,0.979795897113275,5
"1242",9815,"eodn****",9.3,0.899999999999993,10,8.45454545454546,2.67526163082948,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.26491106406735,5,8.875,1.89983551919633,8
